title,source,published,content,sentiment,geo_risk_score,geo_risk_level,energy_risk,investment_recommendation,dataset_type,text,is_geopolitical,is_financial,confidence_score_%
Indonesia confident zero US tariffs will hold: expert,Antaranews.com,2026-02-25T15:31:45Z,The Government Communications Agency (Bakom) expressed confidence that Indonesia will maintain zero percent tariffs on several key products in the United ...,Neutral,0.0,Low,False,Market Neutral | Hold Positions,,Indonesia confident zero US tariffs will hold: expert The Government Communications Agency (Bakom) expressed confidence that Indonesia will maintain zero percent tariffs on several key products in the United ...,True,True,94.96
GulfStar Group Announces the Majority Recapitalization of CIMA Services by Amberjack Capital Partners,GlobeNewswire,2026-02-25T15:30:00Z,"GulfStar Group advised CIMA Services on its majority recapitalization by Amberjack Capital Partners, positioning the company for continued expansion ...",Neutral,0.0,Low,False,Market Neutral | Hold Positions,,"GulfStar Group Announces the Majority Recapitalization of CIMA Services by Amberjack Capital Partners GulfStar Group advised CIMA Services on its majority recapitalization by Amberjack Capital Partners, positioning the company for continued expansion ...",True,True,95.17
Rambling Man: Trump’s State of the Union,The Intercept,2026-02-25T15:30:00Z,"Akela Lacy, Jessica Washington, and Jordan Uhl on Trump’s speech and the Democratic Party’s response.
The post Rambling Man: Trump’s State of the Union  appeared first on The Intercept.",Positive,0.0,Low,False,"Buy Equities, Banking, IT",,"Rambling Man: Trump’s State of the Union Akela Lacy, Jessica Washington, and Jordan Uhl on Trump’s speech and the Democratic Party’s response.
The post Rambling Man: Trump’s State of the Union  appeared first on The Intercept.",True,True,92.5
"Indonesia's Maluku pushes educational, economic ties with Japan",Antaranews.com,2026-02-25T15:25:38Z,"The Maluku provincial government and the Japanese Consulate General explored opportunities for cooperation across strategic fields, ranging from investment ...",Neutral,0.0,Low,False,Market Neutral | Hold Positions,,"Indonesia's Maluku pushes educational, economic ties with Japan The Maluku provincial government and the Japanese Consulate General explored opportunities for cooperation across strategic fields, ranging from investment ...",True,True,95.06
Quick Fix: Five Spice Steak Stir Fry,Boston Herald,2026-02-25T15:20:59Z,It takes just a few minutes to assemble and prep the ingredients.,Negative,0.0,Low,False,Hold Cash | Defensive Stocks,,Quick Fix: Five Spice Steak Stir Fry It takes just a few minutes to assemble and prep the ingredients.,True,True,91.23
Farmer leaders raise US trade deal issue with CACP at consultation meet,BusinessLine,2026-02-25T15:07:17Z,"Farmer leaders have raised the US trade deal issue at the stakeholders’ consultation meeting on kharif minimum support price (MSP), convened by the Commission for Agricultural Costs and Prices (CACP), saying it is directly related to the benchmark price (MSP)…",Neutral,0.0,Low,False,Market Neutral | Hold Positions,,"Farmer leaders raise US trade deal issue with CACP at consultation meet Farmer leaders have raised the US trade deal issue at the stakeholders’ consultation meeting on kharif minimum support price (MSP), convened by the Commission for Agricultural Costs and Prices (CACP), saying it is directly related to the benchmark price (MSP)…",True,True,95.31
"US stock market on the move today: Dow, S&P 500, Nasdaq all pumped up - Oracle, Nvidia, Tesla and other AI stocks gain big",The Times of India,2026-02-25T14:54:57Z,"US stock market today surged as the Dow Jones Industrial Average rose to 49,369. Investors are piling into AI stocks like Nvidia (NVDA) and Oracle as the S&P 500 hits 6,927.93. The Nasdaq jumped 0.79% ahead of the Nvidia earnings report. Tesla and AMD gained …",Positive,0.0,Low,False,"Buy Equities, Banking, IT",,"US stock market on the move today: Dow, S&P 500, Nasdaq all pumped up - Oracle, Nvidia, Tesla and other AI stocks gain big US stock market today surged as the Dow Jones Industrial Average rose to 49,369. Investors are piling into AI stocks like Nvidia (NVDA) and Oracle as the S&P 500 hits 6,927.93. The Nasdaq jumped 0.79% ahead of the Nvidia earnings report. Tesla and AMD gained …",True,True,92.89
US Frack Fleets Find New Life Abroad as Shale Slump Persists,Financial Post,2026-02-25T14:23:17Z,"US fracking companies are increasingly sending their idle equipment overseas, finding new markets abroad as growth slows in the shale fields of Texas, New Mexico and elsewhere.",Positive,0.0,Low,False,"Buy Equities, Banking, IT",,"US Frack Fleets Find New Life Abroad as Shale Slump Persists US fracking companies are increasingly sending their idle equipment overseas, finding new markets abroad as growth slows in the shale fields of Texas, New Mexico and elsewhere.",True,True,91.93
I Love Shooting With Old Cameras. Here's What I’ve Learned From Years of Buying Used,PCMag.com,2026-02-25T14:12:19Z,"New photo gear can be overpriced and sometimes it's hard to get. The secondhand market delivers better value if you know what to look for. These are my best tips.
Photography is a fun hobby and a great way to express your creativity, but it's one that you hav…",Positive,0.0,Low,False,"Buy Equities, Banking, IT",,"I Love Shooting With Old Cameras. Here's What I’ve Learned From Years of Buying Used New photo gear can be overpriced and sometimes it's hard to get. The secondhand market delivers better value if you know what to look for. These are my best tips.
Photography is a fun hobby and a great way to express your creativity, but it's one that you hav…",True,True,92.72
Complete transcript: Read President Trump’s 2026 State of the Union +video,Boston Herald,2026-02-25T14:05:59Z,"President Donald Trump's State of the Union address, delivered on Tuesday, Feb. 24, 2026, as transcribed by The Associated Press.",Neutral,0.0,Low,False,Market Neutral | Hold Positions,,"Complete transcript: Read President Trump’s 2026 State of the Union +video President Donald Trump's State of the Union address, delivered on Tuesday, Feb. 24, 2026, as transcribed by The Associated Press.",True,True,94.78
California Resources Corporation Achieves ‘Grade A’ Certification for its San Joaquin Valley Basin Assets,GlobeNewswire,2026-02-25T14:00:00Z,California Resources Corporation Achieves ‘Grade A’ Certification for its San Joaquin Valley Basin Assets...,Neutral,0.0,Low,False,Market Neutral | Hold Positions,,California Resources Corporation Achieves ‘Grade A’ Certification for its San Joaquin Valley Basin Assets California Resources Corporation Achieves ‘Grade A’ Certification for its San Joaquin Valley Basin Assets...,True,True,94.86
The Best Homemade Cheese Pizza,Acouplecooks.com,2026-02-25T14:00:00Z,"Why order out when you can make a stellar cheese pizza at home? This one is like your favorite delivery pizza, but infinitely tastier.",Positive,0.0,Low,False,"Buy Equities, Banking, IT",,"The Best Homemade Cheese Pizza Why order out when you can make a stellar cheese pizza at home? This one is like your favorite delivery pizza, but infinitely tastier.",True,True,92.6
Rubio is set for talks in St. Kitts with Caribbean leaders unsettled by Trump policies,Boston Herald,2026-02-25T13:54:03Z,Rubio is attending a summit of the Caribbean Community.,Neutral,0.0,Low,False,Market Neutral | Hold Positions,,Rubio is set for talks in St. Kitts with Caribbean leaders unsettled by Trump policies Rubio is attending a summit of the Caribbean Community.,True,True,94.7
"Euroseas Ltd. Reports Results for the Year and Quarter Ended December 31, 2025",GlobeNewswire,2026-02-25T13:47:00Z,"ATHENS, Greece, Feb. 25, 2026 (GLOBE NEWSWIRE) -- Euroseas Ltd. (NASDAQ: ESEA, the “Company” or “Euroseas”), an owner and operator of container carrier vessels and provider of seaborne transportation for containerized cargoes, reported the following results f…",Neutral,0.0,Low,False,Market Neutral | Hold Positions,,"Euroseas Ltd. Reports Results for the Year and Quarter Ended December 31, 2025 ATHENS, Greece, Feb. 25, 2026 (GLOBE NEWSWIRE) -- Euroseas Ltd. (NASDAQ: ESEA, the “Company” or “Euroseas”), an owner and operator of container carrier vessels and provider of seaborne transportation for containerized cargoes, reported the following results f…",True,True,95.05
US futures rise as investors turn from Trump's State of the Union speech to Nvidia's latest results,Abcnews.com,2026-02-25T13:33:34Z,Wall Street inched higher in early trading Wednesday as markets turned their attention away from President Donald Trump’s State of the Union speech and toward the latest earnings report from AI chipmaker Nvidia,Positive,1.0,Medium,False,Selective Equity Buy | Hold Gold,,US futures rise as investors turn from Trump's State of the Union speech to Nvidia's latest results Wall Street inched higher in early trading Wednesday as markets turned their attention away from President Donald Trump’s State of the Union speech and toward the latest earnings report from AI chipmaker Nvidia,True,True,63.59
Eagle Nuclear Energy Corp. Commences Trading on Nasdaq Under Ticker Symbol “NUCL”,Financial Post,2026-02-25T13:32:08Z,"RENO, Nev., Feb. 25, 2026 (GLOBE NEWSWIRE) — Eagle Nuclear Energy Corp. (“Eagle” or the “Company”), a next-generation nuclear energy company which owns the largest conventional, measured and indicated uranium deposit in the United States, today announced that…",Negative,1.0,Medium,True,Hold Gold | Avoid High-Risk Equities,,"Eagle Nuclear Energy Corp. Commences Trading on Nasdaq Under Ticker Symbol “NUCL” RENO, Nev., Feb. 25, 2026 (GLOBE NEWSWIRE) — Eagle Nuclear Energy Corp. (“Eagle” or the “Company”), a next-generation nuclear energy company which owns the largest conventional, measured and indicated uranium deposit in the United States, today announced that…",True,True,87.58
Eagle Nuclear Energy Corp. Commences Trading on Nasdaq Under Ticker Symbol “NUCL”,GlobeNewswire,2026-02-25T13:30:00Z,"RENO, Nev., Feb. 25, 2026 (GLOBE NEWSWIRE) -- Eagle Nuclear Energy Corp. (“Eagle” or the “Company”), a next-generation nuclear energy company which owns the largest conventional, measured and indicated uranium deposit in the United States, today announced tha…",Negative,1.0,Medium,True,Hold Gold | Avoid High-Risk Equities,,"Eagle Nuclear Energy Corp. Commences Trading on Nasdaq Under Ticker Symbol “NUCL” RENO, Nev., Feb. 25, 2026 (GLOBE NEWSWIRE) -- Eagle Nuclear Energy Corp. (“Eagle” or the “Company”), a next-generation nuclear energy company which owns the largest conventional, measured and indicated uranium deposit in the United States, today announced tha…",True,True,90.02
Russia and Iran Slash Oil Prices to Secure China Market Share,OilPrice.com,2026-02-25T13:30:00Z,"Discounts for Russian and Iranian crude have widened in recent weeks as China’s independent refiners have remained the only buyers not shunning sanctioned supply, which is amassing in floating storage at sea.  India’s pivot away from Russian crude oil has bee…",Negative,1.0,Medium,True,Hold Gold | Avoid High-Risk Equities,,"Russia and Iran Slash Oil Prices to Secure China Market Share Discounts for Russian and Iranian crude have widened in recent weeks as China’s independent refiners have remained the only buyers not shunning sanctioned supply, which is amassing in floating storage at sea.  India’s pivot away from Russian crude oil has bee…",True,True,91.21
"Digital Health Of Pharmaceutical Companies Market Size, Forecasts & Smart Automation 2026-2033 Scope",Linkedin.com,2026-02-25T13:24:59Z," Download Sample  Get Special Discount Digital Health Of Pharmaceutical Companies Market Global Outlook, Country Deep-Dives & Strategic Opportunities (2024-2033) Market size (2024): USD 15.2 billion · Forecast (2033): 39.",Positive,0.0,Low,False,"Buy Equities, Banking, IT",,"Digital Health Of Pharmaceutical Companies Market Size, Forecasts & Smart Automation 2026-2033 Scope  Download Sample  Get Special Discount Digital Health Of Pharmaceutical Companies Market Global Outlook, Country Deep-Dives & Strategic Opportunities (2024-2033) Market size (2024): USD 15.2 billion · Forecast (2033): 39.",True,True,92.63
EOG Posts Lower Q4 Profit,Rigzone,2026-02-25T13:23:24Z,"EOG reported $701 million in net profit and $1.22 billion in adjusted net profit for the fourth quarter (Q4) of 2025, both down sequentially and year-on-year on lower oil and gas price realizations in the U.S.",Neutral,0.0,Low,True,Market Neutral | Hold Positions,,"EOG Posts Lower Q4 Profit EOG reported $701 million in net profit and $1.22 billion in adjusted net profit for the fourth quarter (Q4) of 2025, both down sequentially and year-on-year on lower oil and gas price realizations in the U.S.",True,True,95.32
"OPEC+ to consider 137,000 bpd oil output increase for April, sources say",Yahoo Entertainment,2026-02-25T13:05:54Z,"MOSCOW/LONDON, Feb 24 () - OPEC+ will likely consider raising its oil output by 137,000 ‌barrels per day for April to end ‌a three-month pause in production...",Neutral,0.0,Low,True,Market Neutral | Hold Positions,,"OPEC+ to consider 137,000 bpd oil output increase for April, sources say MOSCOW/LONDON, Feb 24 () - OPEC+ will likely consider raising its oil output by 137,000 ‌barrels per day for April to end ‌a three-month pause in production...",True,True,94.55
US futures are flat and global stocks gain after optimism about AI sends Wall Street higher,Boston Herald,2026-02-25T12:51:32Z,Investors are closely watching for an earnings report due from chipmaking giant Nvidia.,Neutral,0.0,Low,False,Market Neutral | Hold Positions,,US futures are flat and global stocks gain after optimism about AI sends Wall Street higher Investors are closely watching for an earnings report due from chipmaking giant Nvidia.,True,True,94.67
"NEPZA, Borno partner to revive moribund Banki Free Trade Zone",The Punch,2026-02-25T12:50:59Z,"NEPZA and Borno State partner to revive the long-abandoned Banki Free Trade Zone, aiming to boost economic growth and regional trade in the North-East.

Read More: https://punchng.com/nepza-borno-partner-to-revive-moribund-banki-free-trade-zone/",Positive,0.0,Low,False,"Buy Equities, Banking, IT",,"NEPZA, Borno partner to revive moribund Banki Free Trade Zone NEPZA and Borno State partner to revive the long-abandoned Banki Free Trade Zone, aiming to boost economic growth and regional trade in the North-East.

Read More: https://punchng.com/nepza-borno-partner-to-revive-moribund-banki-free-trade-zone/",True,True,92.78
Westlake Q4 Earnings Call Highlights,MarketBeat,2026-02-25T12:48:34Z,Westlake (NYSE:WLK) executives used the company’s fourth-quarter and full-year 2025 earnings call to outline a sweeping restructuring and “self-help” plan...,Neutral,0.0,Low,False,Market Neutral | Hold Positions,,Westlake Q4 Earnings Call Highlights Westlake (NYSE:WLK) executives used the company’s fourth-quarter and full-year 2025 earnings call to outline a sweeping restructuring and “self-help” plan...,True,True,94.92
Wednesday: Hili dialogue,Whyevolutionistrue.com,2026-02-25T12:45:24Z,"Welcome to a Hump Day (“יום הגיבנת” in Hebrew): Wednesday, February 25, 2026, and National Clam Chowder Day. Of the several varieties, I can recommend only one, the New England variety made with cream and plenty of clams. Avoid anything with tomatoes in it! Y…",Positive,0.0,Low,False,"Buy Equities, Banking, IT",,"Wednesday: Hili dialogue Welcome to a Hump Day (“יום הגיבנת” in Hebrew): Wednesday, February 25, 2026, and National Clam Chowder Day. Of the several varieties, I can recommend only one, the New England variety made with cream and plenty of clams. Avoid anything with tomatoes in it! Y…",True,True,92.67
These bitcoin-linked stocks are doing better than BTC,CoinDesk,2026-02-25T12:25:20Z,"The day ahead in crypto: Feb. 25, 2026",Neutral,0.0,Low,False,Market Neutral | Hold Positions,,"These bitcoin-linked stocks are doing better than BTC The day ahead in crypto: Feb. 25, 2026",True,True,94.88
"Exclusive-Kazakhstan's Tengiz oil output recovery slowed by CPC loading disruption, sources say",CNA,2026-02-25T12:20:32Z,"MOSCOW, Feb 25 : Kazakhstan's vast Tengiz oilfield is restoring production more slowly than planned because of disruption caused by bad weather and drone alerts at the Caspian Pipeline Consortium (CPC) marine terminal near Novorossiysk, Russia, two industry s…",Neutral,0.0,Low,True,Market Neutral | Hold Positions,,"Exclusive-Kazakhstan's Tengiz oil output recovery slowed by CPC loading disruption, sources say MOSCOW, Feb 25 : Kazakhstan's vast Tengiz oilfield is restoring production more slowly than planned because of disruption caused by bad weather and drone alerts at the Caspian Pipeline Consortium (CPC) marine terminal near Novorossiysk, Russia, two industry s…",True,True,94.89
"$3.2+ Bn Heavy Equipment Telematics Markets, 2032 with Samsara, Trimble, Geotab, ORBCOMM, and CalAmp Leading",GlobeNewswire,2026-02-25T12:11:00Z,"The global heavy equipment telematics market is expected to surge from USD 1.33 billion in 2025 to USD 3.21 billion by 2032, growing at a CAGR of 13.4%. Key drivers include rising fuel costs, equipment failures, and thefts. Equipment maintenance and diagnosti…",Neutral,0.0,Low,False,Market Neutral | Hold Positions,,"$3.2+ Bn Heavy Equipment Telematics Markets, 2032 with Samsara, Trimble, Geotab, ORBCOMM, and CalAmp Leading The global heavy equipment telematics market is expected to surge from USD 1.33 billion in 2025 to USD 3.21 billion by 2032, growing at a CAGR of 13.4%. Key drivers include rising fuel costs, equipment failures, and thefts. Equipment maintenance and diagnosti…",True,True,95.03
US' 126% solar tariffs have limited financial impact: Indian firms,The Times of India,2026-02-25T12:08:27Z,"Indian solar manufacturers Vikram Solar, Waaree Energies, and Premier Energies report minimal impact from new US duties. Companies have diversified supply chains and focus on domestic demand. Exports to the US represent a small portion of total Indian product…",Neutral,0.0,Low,False,Market Neutral | Hold Positions,,"US' 126% solar tariffs have limited financial impact: Indian firms Indian solar manufacturers Vikram Solar, Waaree Energies, and Premier Energies report minimal impact from new US duties. Companies have diversified supply chains and focus on domestic demand. Exports to the US represent a small portion of total Indian product…",True,True,94.72
Read the complete transcript of Trump’s 2026 State of the Union,Boston Herald,2026-02-25T12:06:50Z,"The address covered immigration, the economy and more.",Positive,0.0,Low,False,"Buy Equities, Banking, IT",,"Read the complete transcript of Trump’s 2026 State of the Union The address covered immigration, the economy and more.",True,True,91.48
U.S. Energy Corp. Highlights Integrated Platform in New Investor Presentation and Emerging Growth Conference Appearance,GlobeNewswire,2026-02-25T12:00:00Z,"HOUSTON, Feb. 25, 2026 (GLOBE NEWSWIRE) -- U.S. Energy Corp. (NASDAQ: USEG) (“U.S. Energy” or the “Company”), an integrated energy company advancing a diversified industrial gas, energy, and carbon management platform, today released a new investor presentati…",Positive,0.0,Low,True,"Buy Equities, Banking, IT",,"U.S. Energy Corp. Highlights Integrated Platform in New Investor Presentation and Emerging Growth Conference Appearance HOUSTON, Feb. 25, 2026 (GLOBE NEWSWIRE) -- U.S. Energy Corp. (NASDAQ: USEG) (“U.S. Energy” or the “Company”), an integrated energy company advancing a diversified industrial gas, energy, and carbon management platform, today released a new investor presentati…",True,True,93.53
Over a billion fear losing land and homes within five years,UN News,2026-02-25T12:00:00Z,"Despite global progress in strengthening land tenure and governance, more than a billion people worldwide – nearly one in four adults – fear they could lose the rights to some or all of their land and housing within the next five years.  Read Full Story on UN…",Positive,0.0,Low,False,"Buy Equities, Banking, IT",,"Over a billion fear losing land and homes within five years Despite global progress in strengthening land tenure and governance, more than a billion people worldwide – nearly one in four adults – fear they could lose the rights to some or all of their land and housing within the next five years.  Read Full Story on UN…",True,True,92.62
Weak China Demand Pushes Australian Gas Exporters to Seek New Buyers,OilPrice.com,2026-02-25T12:00:00Z,"Asia’s weak LNG demand has prompted one of the biggest exporters, Australia, to ship a cargo of the fuel as far as East Canada on a 16,000-mile journey, vessel-tracking data compiled by Bloomberg showed.  LNG carrier the Maran Gas Hector is set to arrive in E…",Negative,0.0,Low,True,Hold Cash | Defensive Stocks,,"Weak China Demand Pushes Australian Gas Exporters to Seek New Buyers Asia’s weak LNG demand has prompted one of the biggest exporters, Australia, to ship a cargo of the fuel as far as East Canada on a 16,000-mile journey, vessel-tracking data compiled by Bloomberg showed.  LNG carrier the Maran Gas Hector is set to arrive in E…",True,True,85.22
Geopolitical heat lifts inflation fears but RBI's repo rate hike unlikely,The Times of India,2026-02-25T11:59:08Z,"RBI MPC member Saugata Bhattacharya says a rate hike is “negligible” despite inflation risks from crude, metals and weather. He sees no economic overheating, notes improving credit growth and steady consumption, and expects inflation to near 4%. He adds new G…",Neutral,0.0,Low,True,Market Neutral | Hold Positions,,"Geopolitical heat lifts inflation fears but RBI's repo rate hike unlikely RBI MPC member Saugata Bhattacharya says a rate hike is “negligible” despite inflation risks from crude, metals and weather. He sees no economic overheating, notes improving credit growth and steady consumption, and expects inflation to near 4%. He adds new G…",True,True,94.74
Shell Signs LNG Deal to Boost Supply to Southern Europe,OilPrice.com,2026-02-25T11:30:00Z,"Shell and Greek energy and metals firm Metlen have signed a cooperation deal for LNG supply and trading, which would boost deliveries to Greek import terminals and supply to southern and central Europe. Metlen and the UK-based supermajor, which is the world’s…",Neutral,0.0,Low,True,Market Neutral | Hold Positions,,"Shell Signs LNG Deal to Boost Supply to Southern Europe Shell and Greek energy and metals firm Metlen have signed a cooperation deal for LNG supply and trading, which would boost deliveries to Greek import terminals and supply to southern and central Europe. Metlen and the UK-based supermajor, which is the world’s…",True,True,94.9
THCA Carts: Exhale Wellness Announces Two New THCA Vape Cartridges: Birthday Cake and Berry Gelato,GlobeNewswire,2026-02-25T11:26:00Z,"Exhale announces two lab-tested THCa vape cartridges, Birthday Cake and Berry Gelato, expanding its federally compliant hemp-derived product lineup. Exhale announces two lab-tested THCa vape cartridges, Birthday Cake and Berry Gelato, expanding its federally …",Neutral,0.0,Low,False,Market Neutral | Hold Positions,,"THCA Carts: Exhale Wellness Announces Two New THCA Vape Cartridges: Birthday Cake and Berry Gelato Exhale announces two lab-tested THCa vape cartridges, Birthday Cake and Berry Gelato, expanding its federally compliant hemp-derived product lineup. Exhale announces two lab-tested THCa vape cartridges, Birthday Cake and Berry Gelato, expanding its federally …",True,True,94.9
Golar LNG Limited Preliminary fourth quarter and financial year 2025 results,GlobeNewswire,2026-02-25T11:22:00Z,Fourth Quarter financial summary (in thousands of $)Q4 2025Q4 2024% ChangeYTD 2025YTD 2024% ChangeNet income attributable to Golar LNG...,Neutral,0.0,Low,False,Market Neutral | Hold Positions,,Golar LNG Limited Preliminary fourth quarter and financial year 2025 results Fourth Quarter financial summary (in thousands of $)Q4 2025Q4 2024% ChangeYTD 2025YTD 2024% ChangeNet income attributable to Golar LNG...,True,True,94.96
Transocean (RIG) Soars With Record $1.37B EBITDA And Strategic Valaris Acquisition,Yahoo Entertainment,2026-02-25T11:19:44Z,"Transocean Ltd. (NYSE:RIG) is one of the best high volume stocks to invest in now. On February 20, Transocean reported strong financial performance for 2025,...",Positive,0.0,Low,False,"Buy Equities, Banking, IT",,"Transocean (RIG) Soars With Record $1.37B EBITDA And Strategic Valaris Acquisition Transocean Ltd. (NYSE:RIG) is one of the best high volume stocks to invest in now. On February 20, Transocean reported strong financial performance for 2025,...",True,True,92.84
Trump dodges mention of tariff refunds in State of the Union speech,Fortune,2026-02-25T11:09:19Z,Also: All the news and watercooler chat from Fortune.,Neutral,0.0,Low,False,Market Neutral | Hold Positions,,Trump dodges mention of tariff refunds in State of the Union speech Also: All the news and watercooler chat from Fortune.,True,True,94.86
"Tri Pointe Homes, Inc. Reports 2025 Fourth Quarter and Full Year Results",GlobeNewswire,2026-02-25T11:00:00Z,"INCLINE VILLAGE, Nev., Feb. 25, 2026 (GLOBE NEWSWIRE) -- Tri Pointe Homes, Inc. (the “Company”) (NYSE: TPH) today announced results for the fourth quarter ended December 31, 2025 and full year 2025. As previously announced on February 13, 2026, Tri Pointe has…",Neutral,0.0,Low,False,Market Neutral | Hold Positions,,"Tri Pointe Homes, Inc. Reports 2025 Fourth Quarter and Full Year Results INCLINE VILLAGE, Nev., Feb. 25, 2026 (GLOBE NEWSWIRE) -- Tri Pointe Homes, Inc. (the “Company”) (NYSE: TPH) today announced results for the fourth quarter ended December 31, 2025 and full year 2025. As previously announced on February 13, 2026, Tri Pointe has…",True,True,95.02
Indonesia calls on EU to enforce WTO decision on palm oil dispute,Antaranews.com,2026-02-25T10:57:41Z,"Indonesia has called on the European Union (EU) to promptly implement the World Trade Organization (WTO) Dispute Settlement Panel ruling in the palm oil case, ...",Neutral,0.0,Low,True,Market Neutral | Hold Positions,,"Indonesia calls on EU to enforce WTO decision on palm oil dispute Indonesia has called on the European Union (EU) to promptly implement the World Trade Organization (WTO) Dispute Settlement Panel ruling in the palm oil case, ...",True,True,95.1
"Fuel prices Feb 26-March 4: Unsubsidised RON95, RON97, diesel in peninsula up 5 sen",The Star Online,2026-02-25T10:57:00Z,"KUALA LUMPUR: The retail price of diesel in Peninsular Malaysia will rise by five sen to RM3.04 per litre, while prices in Sabah, Sarawak and Labuan will remain unchanged at RM2.15 per litre from Feb 26 to March 4. Read full story",Positive,0.0,Low,False,"Buy Equities, Banking, IT",,"Fuel prices Feb 26-March 4: Unsubsidised RON95, RON97, diesel in peninsula up 5 sen KUALA LUMPUR: The retail price of diesel in Peninsular Malaysia will rise by five sen to RM3.04 per litre, while prices in Sabah, Sarawak and Labuan will remain unchanged at RM2.15 per litre from Feb 26 to March 4. Read full story",True,True,92.59
