title,source,published,content,sentiment,geo_risk_score,geo_risk_level,energy_risk,investment_recommendation,dataset_type
Rambling Man: Trump’s State of the Union,The Intercept,2026-02-25T15:30:00Z,"Akela Lacy, Jessica Washington, and Jordan Uhl on Trump’s speech and the Democratic Party’s response.
The post Rambling Man: Trump’s State of the Union  appeared first on The Intercept.",Positive,0.0,Low,False,"Buy Equities, Banking, IT",
"Indonesia's Maluku pushes educational, economic ties with Japan",Antaranews.com,2026-02-25T15:25:38Z,"The Maluku provincial government and the Japanese Consulate General explored opportunities for cooperation across strategic fields, ranging from investment ...",Neutral,0.0,Low,False,Market Neutral | Hold Positions,
Quick Fix: Five Spice Steak Stir Fry,Boston Herald,2026-02-25T15:20:59Z,It takes just a few minutes to assemble and prep the ingredients.,Negative,0.0,Low,False,Hold Cash | Defensive Stocks,
Farmer leaders raise US trade deal issue with CACP at consultation meet,BusinessLine,2026-02-25T15:07:17Z,"Farmer leaders have raised the US trade deal issue at the stakeholders’ consultation meeting on kharif minimum support price (MSP), convened by the Commission for Agricultural Costs and Prices (CACP), saying it is directly related to the benchmark price (MSP)…",Neutral,0.0,Low,False,Market Neutral | Hold Positions,
"US stock market on the move today: Dow, S&P 500, Nasdaq all pumped up - Oracle, Nvidia, Tesla and other AI stocks gain big",The Times of India,2026-02-25T14:54:57Z,"US stock market today surged as the Dow Jones Industrial Average rose to 49,369. Investors are piling into AI stocks like Nvidia (NVDA) and Oracle as the S&P 500 hits 6,927.93. The Nasdaq jumped 0.79% ahead of the Nvidia earnings report. Tesla and AMD gained …",Positive,0.0,Low,False,"Buy Equities, Banking, IT",
US Frack Fleets Find New Life Abroad as Shale Slump Persists,Financial Post,2026-02-25T14:23:17Z,"US fracking companies are increasingly sending their idle equipment overseas, finding new markets abroad as growth slows in the shale fields of Texas, New Mexico and elsewhere.",Positive,0.0,Low,False,"Buy Equities, Banking, IT",
I Love Shooting With Old Cameras. Here's What I’ve Learned From Years of Buying Used,PCMag.com,2026-02-25T14:12:19Z,"New photo gear can be overpriced and sometimes it's hard to get. The secondhand market delivers better value if you know what to look for. These are my best tips.
Photography is a fun hobby and a great way to express your creativity, but it's one that you hav…",Positive,0.0,Low,False,"Buy Equities, Banking, IT",
Complete transcript: Read President Trump’s 2026 State of the Union +video,Boston Herald,2026-02-25T14:05:59Z,"President Donald Trump's State of the Union address, delivered on Tuesday, Feb. 24, 2026, as transcribed by The Associated Press.",Neutral,0.0,Low,False,Market Neutral | Hold Positions,
California Resources Corporation Achieves ‘Grade A’ Certification for its San Joaquin Valley Basin Assets,GlobeNewswire,2026-02-25T14:00:00Z,California Resources Corporation Achieves ‘Grade A’ Certification for its San Joaquin Valley Basin Assets...,Neutral,0.0,Low,False,Market Neutral | Hold Positions,
The Best Homemade Cheese Pizza,Acouplecooks.com,2026-02-25T14:00:00Z,"Why order out when you can make a stellar cheese pizza at home? This one is like your favorite delivery pizza, but infinitely tastier.",Positive,0.0,Low,False,"Buy Equities, Banking, IT",
Rubio is set for talks in St. Kitts with Caribbean leaders unsettled by Trump policies,Boston Herald,2026-02-25T13:54:03Z,Rubio is attending a summit of the Caribbean Community.,Neutral,0.0,Low,False,Market Neutral | Hold Positions,
"Euroseas Ltd. Reports Results for the Year and Quarter Ended December 31, 2025",GlobeNewswire,2026-02-25T13:47:00Z,"ATHENS, Greece, Feb. 25, 2026 (GLOBE NEWSWIRE) -- Euroseas Ltd. (NASDAQ: ESEA, the “Company” or “Euroseas”), an owner and operator of container carrier vessels and provider of seaborne transportation for containerized cargoes, reported the following results f…",Neutral,0.0,Low,False,Market Neutral | Hold Positions,
US futures rise as investors turn from Trump's State of the Union speech to Nvidia's latest results,Abcnews.com,2026-02-25T13:33:34Z,Wall Street inched higher in early trading Wednesday as markets turned their attention away from President Donald Trump’s State of the Union speech and toward the latest earnings report from AI chipmaker Nvidia,Positive,1.0,Medium,False,Selective Equity Buy | Hold Gold,
Eagle Nuclear Energy Corp. Commences Trading on Nasdaq Under Ticker Symbol “NUCL”,Financial Post,2026-02-25T13:32:08Z,"RENO, Nev., Feb. 25, 2026 (GLOBE NEWSWIRE) — Eagle Nuclear Energy Corp. (“Eagle” or the “Company”), a next-generation nuclear energy company which owns the largest conventional, measured and indicated uranium deposit in the United States, today announced that…",Negative,1.0,Medium,True,Hold Gold | Avoid High-Risk Equities,
Eagle Nuclear Energy Corp. Commences Trading on Nasdaq Under Ticker Symbol “NUCL”,GlobeNewswire,2026-02-25T13:30:00Z,"RENO, Nev., Feb. 25, 2026 (GLOBE NEWSWIRE) -- Eagle Nuclear Energy Corp. (“Eagle” or the “Company”), a next-generation nuclear energy company which owns the largest conventional, measured and indicated uranium deposit in the United States, today announced tha…",Negative,1.0,Medium,True,Hold Gold | Avoid High-Risk Equities,
Russia and Iran Slash Oil Prices to Secure China Market Share,OilPrice.com,2026-02-25T13:30:00Z,"Discounts for Russian and Iranian crude have widened in recent weeks as China’s independent refiners have remained the only buyers not shunning sanctioned supply, which is amassing in floating storage at sea.  India’s pivot away from Russian crude oil has bee…",Negative,1.0,Medium,True,Hold Gold | Avoid High-Risk Equities,
"Digital Health Of Pharmaceutical Companies Market Size, Forecasts & Smart Automation 2026-2033 Scope",Linkedin.com,2026-02-25T13:24:59Z," Download Sample  Get Special Discount Digital Health Of Pharmaceutical Companies Market Global Outlook, Country Deep-Dives & Strategic Opportunities (2024-2033) Market size (2024): USD 15.2 billion · Forecast (2033): 39.",Positive,0.0,Low,False,"Buy Equities, Banking, IT",
EOG Posts Lower Q4 Profit,Rigzone,2026-02-25T13:23:24Z,"EOG reported $701 million in net profit and $1.22 billion in adjusted net profit for the fourth quarter (Q4) of 2025, both down sequentially and year-on-year on lower oil and gas price realizations in the U.S.",Neutral,0.0,Low,True,Market Neutral | Hold Positions,
"OPEC+ to consider 137,000 bpd oil output increase for April, sources say",Yahoo Entertainment,2026-02-25T13:05:54Z,"MOSCOW/LONDON, Feb 24 () - OPEC+ will likely consider raising its oil output by 137,000 ‌barrels per day for April to end ‌a three-month pause in production...",Neutral,0.0,Low,True,Market Neutral | Hold Positions,
US futures are flat and global stocks gain after optimism about AI sends Wall Street higher,Boston Herald,2026-02-25T12:51:32Z,Investors are closely watching for an earnings report due from chipmaking giant Nvidia.,Neutral,0.0,Low,False,Market Neutral | Hold Positions,
"NEPZA, Borno partner to revive moribund Banki Free Trade Zone",The Punch,2026-02-25T12:50:59Z,"NEPZA and Borno State partner to revive the long-abandoned Banki Free Trade Zone, aiming to boost economic growth and regional trade in the North-East.

Read More: https://punchng.com/nepza-borno-partner-to-revive-moribund-banki-free-trade-zone/",Positive,0.0,Low,False,"Buy Equities, Banking, IT",
Westlake Q4 Earnings Call Highlights,MarketBeat,2026-02-25T12:48:34Z,Westlake (NYSE:WLK) executives used the company’s fourth-quarter and full-year 2025 earnings call to outline a sweeping restructuring and “self-help” plan...,Neutral,0.0,Low,False,Market Neutral | Hold Positions,
Wednesday: Hili dialogue,Whyevolutionistrue.com,2026-02-25T12:45:24Z,"Welcome to a Hump Day (“יום הגיבנת” in Hebrew): Wednesday, February 25, 2026, and National Clam Chowder Day. Of the several varieties, I can recommend only one, the New England variety made with cream and plenty of clams. Avoid anything with tomatoes in it! Y…",Positive,0.0,Low,False,"Buy Equities, Banking, IT",
These bitcoin-linked stocks are doing better than BTC,CoinDesk,2026-02-25T12:25:20Z,"The day ahead in crypto: Feb. 25, 2026",Neutral,0.0,Low,False,Market Neutral | Hold Positions,
"Exclusive-Kazakhstan's Tengiz oil output recovery slowed by CPC loading disruption, sources say",CNA,2026-02-25T12:20:32Z,"MOSCOW, Feb 25 : Kazakhstan's vast Tengiz oilfield is restoring production more slowly than planned because of disruption caused by bad weather and drone alerts at the Caspian Pipeline Consortium (CPC) marine terminal near Novorossiysk, Russia, two industry s…",Neutral,0.0,Low,True,Market Neutral | Hold Positions,
"$3.2+ Bn Heavy Equipment Telematics Markets, 2032 with Samsara, Trimble, Geotab, ORBCOMM, and CalAmp Leading",GlobeNewswire,2026-02-25T12:11:00Z,"The global heavy equipment telematics market is expected to surge from USD 1.33 billion in 2025 to USD 3.21 billion by 2032, growing at a CAGR of 13.4%. Key drivers include rising fuel costs, equipment failures, and thefts. Equipment maintenance and diagnosti…",Neutral,0.0,Low,False,Market Neutral | Hold Positions,
US' 126% solar tariffs have limited financial impact: Indian firms,The Times of India,2026-02-25T12:08:27Z,"Indian solar manufacturers Vikram Solar, Waaree Energies, and Premier Energies report minimal impact from new US duties. Companies have diversified supply chains and focus on domestic demand. Exports to the US represent a small portion of total Indian product…",Neutral,0.0,Low,False,Market Neutral | Hold Positions,
Read the complete transcript of Trump’s 2026 State of the Union,Boston Herald,2026-02-25T12:06:50Z,"The address covered immigration, the economy and more.",Positive,0.0,Low,False,"Buy Equities, Banking, IT",
U.S. Energy Corp. Highlights Integrated Platform in New Investor Presentation and Emerging Growth Conference Appearance,GlobeNewswire,2026-02-25T12:00:00Z,"HOUSTON, Feb. 25, 2026 (GLOBE NEWSWIRE) -- U.S. Energy Corp. (NASDAQ: USEG) (“U.S. Energy” or the “Company”), an integrated energy company advancing a diversified industrial gas, energy, and carbon management platform, today released a new investor presentati…",Positive,0.0,Low,True,"Buy Equities, Banking, IT",
Over a billion fear losing land and homes within five years,UN News,2026-02-25T12:00:00Z,"Despite global progress in strengthening land tenure and governance, more than a billion people worldwide – nearly one in four adults – fear they could lose the rights to some or all of their land and housing within the next five years.  Read Full Story on UN…",Positive,0.0,Low,False,"Buy Equities, Banking, IT",
Weak China Demand Pushes Australian Gas Exporters to Seek New Buyers,OilPrice.com,2026-02-25T12:00:00Z,"Asia’s weak LNG demand has prompted one of the biggest exporters, Australia, to ship a cargo of the fuel as far as East Canada on a 16,000-mile journey, vessel-tracking data compiled by Bloomberg showed.  LNG carrier the Maran Gas Hector is set to arrive in E…",Negative,0.0,Low,True,Hold Cash | Defensive Stocks,
Geopolitical heat lifts inflation fears but RBI's repo rate hike unlikely,The Times of India,2026-02-25T11:59:08Z,"RBI MPC member Saugata Bhattacharya says a rate hike is “negligible” despite inflation risks from crude, metals and weather. He sees no economic overheating, notes improving credit growth and steady consumption, and expects inflation to near 4%. He adds new G…",Neutral,0.0,Low,True,Market Neutral | Hold Positions,
Shell Signs LNG Deal to Boost Supply to Southern Europe,OilPrice.com,2026-02-25T11:30:00Z,"Shell and Greek energy and metals firm Metlen have signed a cooperation deal for LNG supply and trading, which would boost deliveries to Greek import terminals and supply to southern and central Europe. Metlen and the UK-based supermajor, which is the world’s…",Neutral,0.0,Low,True,Market Neutral | Hold Positions,
THCA Carts: Exhale Wellness Announces Two New THCA Vape Cartridges: Birthday Cake and Berry Gelato,GlobeNewswire,2026-02-25T11:26:00Z,"Exhale announces two lab-tested THCa vape cartridges, Birthday Cake and Berry Gelato, expanding its federally compliant hemp-derived product lineup. Exhale announces two lab-tested THCa vape cartridges, Birthday Cake and Berry Gelato, expanding its federally …",Neutral,0.0,Low,False,Market Neutral | Hold Positions,
Golar LNG Limited Preliminary fourth quarter and financial year 2025 results,GlobeNewswire,2026-02-25T11:22:00Z,Fourth Quarter financial summary (in thousands of $)Q4 2025Q4 2024% ChangeYTD 2025YTD 2024% ChangeNet income attributable to Golar LNG...,Neutral,0.0,Low,False,Market Neutral | Hold Positions,
Transocean (RIG) Soars With Record $1.37B EBITDA And Strategic Valaris Acquisition,Yahoo Entertainment,2026-02-25T11:19:44Z,"Transocean Ltd. (NYSE:RIG) is one of the best high volume stocks to invest in now. On February 20, Transocean reported strong financial performance for 2025,...",Positive,0.0,Low,False,"Buy Equities, Banking, IT",
Trump dodges mention of tariff refunds in State of the Union speech,Fortune,2026-02-25T11:09:19Z,Also: All the news and watercooler chat from Fortune.,Neutral,0.0,Low,False,Market Neutral | Hold Positions,
"Tri Pointe Homes, Inc. Reports 2025 Fourth Quarter and Full Year Results",GlobeNewswire,2026-02-25T11:00:00Z,"INCLINE VILLAGE, Nev., Feb. 25, 2026 (GLOBE NEWSWIRE) -- Tri Pointe Homes, Inc. (the “Company”) (NYSE: TPH) today announced results for the fourth quarter ended December 31, 2025 and full year 2025. As previously announced on February 13, 2026, Tri Pointe has…",Neutral,0.0,Low,False,Market Neutral | Hold Positions,
Indonesia calls on EU to enforce WTO decision on palm oil dispute,Antaranews.com,2026-02-25T10:57:41Z,"Indonesia has called on the European Union (EU) to promptly implement the World Trade Organization (WTO) Dispute Settlement Panel ruling in the palm oil case, ...",Neutral,0.0,Low,True,Market Neutral | Hold Positions,
"Fuel prices Feb 26-March 4: Unsubsidised RON95, RON97, diesel in peninsula up 5 sen",The Star Online,2026-02-25T10:57:00Z,"KUALA LUMPUR: The retail price of diesel in Peninsular Malaysia will rise by five sen to RM3.04 per litre, while prices in Sabah, Sarawak and Labuan will remain unchanged at RM2.15 per litre from Feb 26 to March 4. Read full story",Positive,0.0,Low,False,"Buy Equities, Banking, IT",
"Narrow markets, diverging fortunes: Large caps regain favour",BusinessLine,2026-02-25T10:53:50Z,Recent 3QFY26 earnings reviews present a nuanced landscape where multi-quarter high sales growth contrasts with softening profitability across various segments,Neutral,0.0,Low,False,Market Neutral | Hold Positions,
Yimutian (YMT) to Acquire Premium Camellia Oil Producer Jiufeng Agriculture in Major Strategic Pivot,Yahoo Entertainment,2026-02-25T10:46:32Z,"Yimutian Inc. (NASDAQ:YMT) is one of the best penny stocks under $1 to buy right now. On February 5, Yimutian Group entered into a preliminary agreement to...",Positive,0.0,Low,True,"Buy Equities, Banking, IT",
Trump’s tariffs got quashed by America's Supreme Court—but India’s position has strengthened,Livemint,2026-02-25T10:30:38Z,"A US Supreme Court setback to Donald Trump’s tariff policy has reshuffled the trade deck. New Delhi finds itself better armed now to finalize a deal that can best serve India’s interests, but it must play its cards well.",Positive,0.0,Low,False,"Buy Equities, Banking, IT",
"Market Wrap: Sensex ends 50 pts higher, Nifty above 25,400 as bank stocks keep rally in check",The Times of India,2026-02-25T10:23:18Z,"At close, Sensex was up a little over 50 points at 82,276. This marks a fall of around 682 points from its intraday high of 82,958, which it had hit in the morning amid strong buying in IT stocks. Nifty 50 ended the session around 58 points higher at 25,482, …",Positive,0.0,Low,False,"Buy Equities, Banking, IT",
What to expect from the next round of U.S.-Iran talks as Trump threatens Tehran,CNBC,2026-02-25T10:23:07Z,"The upcoming talks come as the U.S. continues to build up military forces in the region and as Trump warns of ""bad things"" if Iran doesn't agree to a deal.",Negative,1.0,Medium,False,Hold Gold | Avoid High-Risk Equities,
"UK and International Drafting International R&D Collaboration and Joint Venture Agreements Training Course: IP Ownership, Brexit's Impact, and Optimal Collaboration Structures (ONLINE: June 9, 2026)",GlobeNewswire,2026-02-25T10:12:00Z,"The main market opportunities lie in mastering R&D and joint venture agreements, with emphasis on IP ownership, Brexit's impact on competition law, and optimal collaboration structures. This enables strong partnerships, strategic international contracting, an…",Positive,0.0,Low,False,"Buy Equities, Banking, IT",
FactChecking Trump’s State of the Union Address,FactCheck.org,2026-02-25T10:10:49Z,"In the first State of the Union Address of his second term, President Donald Trump proclaimed that ""our nation is back, bigger, better, richer and stronger than ever before."" But our review of his speech found that he distorted a number of facts about the sta…",Positive,0.0,Low,False,"Buy Equities, Banking, IT",
Washington warned Kiev after strikes on Russian port hit US-linked oil infrastructure – envoy,RT,2026-02-25T10:07:58Z,The Ukrainian ambassador to the US revealed that in November she was contacted about the attack Read Full Article at RT.com,Positive,1.0,Medium,True,Selective Equity Buy | Hold Gold,
ZENRG Services Acquires Versiv Solutions Assets,GlobeNewswire,2026-02-25T10:00:00Z,"ZENRG Services acquires Versiv Solutions assets, expanding ZENRG’s footprint and customer base in the lower 48 states and its capabilities....",Negative,0.0,Low,False,Hold Cash | Defensive Stocks,
"‘Stop vacations, coffee and dates; save Rs 5 lakh first’: Internet divided over woman’s tough money advice",The Times of India,2026-02-25T09:52:58Z,"A viral video urges young people to prioritize saving at least Rs 5 lakh before indulging in comforts like shopping or vacations. The speaker emphasizes skill-building and increasing income, arguing that opportunities for financial growth are abundant. The ad…",Neutral,0.0,Low,False,Market Neutral | Hold Positions,
"Dewatering and Membrane Future Technology Research Report 2026: Mapping High, Medium, and Low-impact Innovations Across Advanced Filtration, Tailings Water Recovery, and Process-water Reuse.",GlobeNewswire,2026-02-25T09:48:00Z,"Innovations in dewatering and membrane technologies are transforming water management in mining and heavy industry into a core production enabler. Key opportunities lie in advanced filtration, tailings water recovery, and process-water reuse, addressing effic…",Neutral,0.0,Low,False,Market Neutral | Hold Positions,
"Read, watch President Trump's 2026 State of the Union address",CBS News,2026-02-25T09:44:00Z,"President Trump delivered his 2026 State of the Union address on Tuesday night, Feb. 24. Here is a transcript, prepared by The Associated Press.",Neutral,0.0,Low,False,Market Neutral | Hold Positions,
Russia and Iran slashing prices to China as oil piles up at sea,The Times of India,2026-02-25T09:32:34Z,"Russian and Iranian oil suppliers are slashing prices to attract Chinese buyers, as India cuts back on Russian crude imports and diverts more Russian barrels toward China. This surge in Russian supply is colliding with long-favored Iranian oil, triggering a d…",Neutral,1.0,Medium,True,Hold Gold | Avoid High-Risk Equities,
DAILY CURRENT AFFAIRS IAS | UPSC Prelims and Mains Exam – 25th February 2026,Iasbaba.com,2026-02-25T09:31:59Z,"Archives (PRELIMS  Focus) (MAINS Focus)  
The post DAILY CURRENT AFFAIRS IAS | UPSC Prelims and Mains Exam – 25th February 2026 appeared first on IASbaba.",Neutral,0.0,Low,False,Market Neutral | Hold Positions,
"Déjà vu, the polls and Dendias, PASOK is back with Laliotis and Lambrou, eyes on Alexis, the VLCC war, the blockade of the Syros investment",Protothema.gr,2026-02-25T09:13:23Z,"///
The post Déjà vu, the polls and Dendias, PASOK is back with Laliotis and Lambrou, eyes on Alexis, the VLCC war, the blockade of the Syros investment appeared first on ProtoThema English.",Neutral,2.0,High,False,Buy Gold & Defence Stocks | Avoid Equities,
"Glencore Digital Transformation Strategy Analysis Report 2025: Accelerators, Innovation Programs, Incubators, ICT, Technology Initiatives, Partnerships, Investments, Acquisitions, Network Map",GlobeNewswire,2026-02-25T09:09:00Z,"Opportunities include Glencore's digital transformation and tech initiatives across diverse sectors like automotive, energy, and manufacturing, alongside global operations in key regions. Focus on partnerships, product innovations, and tech strategies bolster…",Neutral,0.0,Low,True,Market Neutral | Hold Positions,
"CVR Energy, Inc. (CVI) Balances Operational Changes with Market Opportunities",Yahoo Entertainment,2026-02-25T09:06:01Z,"CVR Energy, Inc. (NYSE:CVI) is among the best oil & gas refinery stocks to buy now. CVR Energy, Inc. (NYSE:CVI) reported its Q4 2025 results on February 18. ...",Positive,0.0,Low,True,"Buy Equities, Banking, IT",
"Shell Enterprise Technology Analysis Report 2025: Digital Transformation Strategies, Innovation Programs, Technology Initiatives, Partnerships, Investment & Acquisition, Network Map",GlobeNewswire,2026-02-25T09:04:00Z,"Shell's market opportunities stem from its diversified energy portfolio, embracing digital transformation, innovation programs, extensive global distribution, and strong LNG and biofuel projects. Its focus on technology initiatives, partnerships, and sustaina…",Positive,0.0,Low,True,"Buy Equities, Banking, IT",
"Chevron Enterprise Technology Analysis Report 2025: Accelerators, Digital Strategies, Innovation Programs, Incubators, Technology Initiatives, Partnerships, Investment & Acquisition, Network Map",GlobeNewswire,2026-02-25T09:03:00Z,"Chevron Corp presents market opportunities through its digital transformation, innovation programs, and technology initiatives, focusing on partnerships, product launches, and strategic investments. Its global presence and diverse operations offer avenues for…",Neutral,0.0,Low,False,Market Neutral | Hold Positions,
A poetry collection inspired by a shouting match wins $100k prize,ABC News (AU),2026-02-25T09:00:00Z,"Eveyln Araluen has taken out the top award at the Victorian Premier's Literary Awards for The Rot, the follow up to her award-winning debut, Dropbear.",Positive,1.0,Medium,False,Selective Equity Buy | Hold Gold,
UK announces biggest sanctions package against Russia four years on from full-scale invasion of Ukraine,Globalsecurity.org,2026-02-25T08:54:56Z,"The UK has announced a landmark sanctions package, cutting off critical oil revenues and further degrading the Kremlin's ability to wage its illegal war.",Negative,3.0,High,True,"Strong Buy: Gold, Oil & Energy Stocks | Avoid Equities",
Russia and Iran Slashing Prices to China as Oil Piles Up at Sea,Financial Post,2026-02-25T08:50:49Z,Russian and Iranian oil producers are offering deepening discounts as they compete for the same limited group of Chinese buyers after India retreated from purchases.,Neutral,0.0,Low,True,Market Neutral | Hold Positions,
"Gas imports hiked ahead of elections, no shortage expected: NOC",Mypeoplesreview.com,2026-02-25T08:45:00Z,"Kathmandu, Feb 25: With the upcoming elections in mind, the Nepal Oil Corporation has increased imports of cooking LPG. The […]
The post Gas imports hiked ahead of elections, no shortage expected: NOC appeared first on Peoples' Review.",Neutral,0.0,Low,True,Market Neutral | Hold Positions,
Are expensive shampoos worth it? What the experts have to say,NBC 5 Dallas-Fort Worth,2026-02-25T08:33:26Z,Experts say affordable shampoos and conditioners found in grocery stores and pharmacies can do the job as well as the pricey versions.,Neutral,0.0,Low,False,Market Neutral | Hold Positions,
How to choose the right shampoo without wasting money,The-independent.com,2026-02-25T08:31:34Z,Shampoos and conditioners can run from a few dollars to more than $100,Positive,0.0,Low,False,"Buy Equities, Banking, IT",
"IT under pressure, energy & bank PSUs may deliver 25–30% upside: Gautam Shah",The Times of India,2026-02-25T08:09:25Z,"IT stocks face structural headwinds, with valuations and AI disruption posing risks, according to Gautam Shah. He advises against catching falling knives in IT, predicting Nifty IT's potential fall to 26,000. Instead, he favors PSU banks, metals, and energy s…",Positive,0.0,Low,True,"Buy Equities, Banking, IT",
Kazakh businessman Kenges Rakishev Consolidates Oil and Gas Assets Into Fincraft Energy Holding,GlobeNewswire,2026-02-25T07:37:00Z,"Kenges Rakishev, president of the Fincraft Group, has transferred two companies into oil and gas conglomerate Fincraft Energy Holding Limited....",Neutral,0.0,Low,True,Market Neutral | Hold Positions,
MPC’s modest rate cut sends positive signal – OPS,The Punch,2026-02-25T07:22:33Z,"Nigeria’s MPC cuts the interest rate to 26.5%, a move the Organised Private Sector sees as a modest but positive signal for economic growth and stability.

Read More: https://punchng.com/mpcs-modest-rate-cut-sends-positive-signal-ops/",Positive,0.0,Low,False,"Buy Equities, Banking, IT",
Understanding intersection between you and new tax laws,The Punch,2026-02-25T07:04:03Z,"A simple guide to Nigeria’s new tax laws. Understand how the Tax Act impacts individuals, SMEs, digital assets, VAT, and more. Key changes explained.

Read More: https://punchng.com/understanding-intersection-between-you-and-new-tax-laws-2/",Positive,0.0,Low,False,"Buy Equities, Banking, IT",
GPS Tracking Device Market Size to Exceed $14.78 Billion by 2035 | SNS Insider,GlobeNewswire,2026-02-25T07:00:00Z,"Global GPS Tracking Device Market Size, Share, Revenue Trends & Segmentation Analysis Report, By Type, Deployment, Industry, Regions | Forecast 2026-2035...",Neutral,0.0,Low,False,Market Neutral | Hold Positions,
Accelerating American (and Planetary) Decline,CounterPunch,2026-02-25T06:56:10Z,"Some tales can cross cultures, continents, and even centuries to arrive in our own era with their timeless truths pretty much intact. That’s particularly so for the immortal story of “an appointment in Samarra.” It first appeared in the fifth century in the B…",Positive,0.0,Low,False,"Buy Equities, Banking, IT",
Bureau Veritas: Sector-Leading Organic Revenue Growth of 6.5% in FY 2025,Financial Post,2026-02-25T06:32:16Z,"Strong margin improvement to 16.3% in FY 2025 Positive growth outlook with continued margin expansion in 2026 New EUR 200 million share buyback COURBEVOIE, France — Bureau Veritas (BOURSE:BVI): 2025 key figures1 › Full-year revenue of EUR 6,466.4 million, up …",Positive,0.0,Low,False,"Buy Equities, Banking, IT",
Key takeaways from Trump’s State of the Union speech,Al Jazeera English,2026-02-25T06:30:20Z,"Trump's hardline stance on Iran and nuclear weapons, alongside foreign policy moves, dominate key moments of his speech.",Neutral,1.0,Medium,False,Hold Gold | Avoid High-Risk Equities,
"BUREAU VERITAS - Sector-leading organic revenue growth of 6.5% in FY 2025, strong margin improvement to 16.3% in FY 2025, positive growth outlook with continued margin expansion in 2026 and new EUR 200 million share buyback",GlobeNewswire,2026-02-25T06:30:00Z,"PRESS RELEASE  Courbevoie, France – February 25, 2026  Sector-leading organic revenue growth of 6.5% in FY 2025  Strong margin improvement to 16.3% in FY...",Positive,0.0,Low,False,"Buy Equities, Banking, IT",
Six takeaways from Trump's 2026 State of the Union address to Congress – the longest one in history,Independent.ie,2026-02-25T06:27:32Z,"President Donald Trump delivered his State of the Union address to a joint session of Congress on Tuesday, a potentially pivotal moment as the White House seeks to firm up support among Republican voters ahead of November's midterm elections.",Neutral,0.0,Low,False,Market Neutral | Hold Positions,
